"ENSIKLOPEDIA PENGETAHUAN AL-QUR'AN DAN HADIST JILID 7","Text","","978-602-7882-07-2","KAMIL PUSTAKA BADI","2012","","","297/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM BAITUL KILMAH>","","<MA7040S>"
"ENSIKLOPEDIA PENGETAHUAN AL-QUR'AN DAN HADIST JILID 6","Text","","978-602-7882-06-5","KAMIL PUSTAKA BADI","2012","","","297/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM BAITUL KILMAH>","","<MA7039S>"
"ENSIKLOPEDIA PENGETAHUAN AL-QUR'AN DAN HADIST JILID 5","Text","","978-602-7882-05-8","KAMIL PUSTAKA BADI","2012","","","297/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM BAITUL KILMAH>","","<MA7038S>"
"ENSIKLOPEDIA PENGETAHUAN AL-QUR'AN DAN HADIST JILID 4","Text","","978-602-7882-04-1","KAMIL PUSTAKA BADI","2012","","","297/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM BAITUL KILMAH>","","<MA7037S>"
"ENSIKLOPEDIA PENGETAHUAN AL-QUR'AN DAN HADIST JILID 3","Text","","978-602-7882-03-4","KAMIL PUSTAKA BADI","2012","","","297/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM BAITUL KILMAH>","","<MA7036S>"
"ENSIKLOPEDIA PENGETAHUAN AL-QUR'AN DAN HADIST JILID 2","Text","","978-602-7882-02-7","KAMIL PUSTAKA BADI","2012","","","297/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM BAITUL KILMAH>","","<MA7035S>"
"ENSIKLOPEDIA PENGETAHUAN AL-QUR'AN DAN HADIST JILID 1","Text","","978-602-7882-01-0","KAMIL PUSTAKA BADI","2012","","","297/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM BAITUL KILMAH>","","<MA7034S>"
"ENSIKLOPEDIA SAINS DALAM AL-QUR'AN DAN HADIST JILID 6 HUKUM","Text","","978-623-09-5856-4","KAMIL PUSTAKA BADI","2023","","","340/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM>","","<MA7033S>"
"ENSIKLOPEDIA SAINS DALAM AL-QUR'AN DAN HADIST JILID 5 SEJARAH","Text","","978-623-09-5855-7","","2023","","","900/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM>","","<MA7032S>"
"ENSIKLOPEDIA SAINS DALAM AL-QUR'AN DAN HADIST JILID 4 GEOGRAFI","Text","","978-623-09-5854-0","KAMIL PUSTAKA BADI","2023","","","900/TIM/B","Indonesia","Jakarta","NONE","","","","<TIM>","","<MA7031S>"
"ENSIKLOPEDIA SAINS DALAM AL-QUR'AN DAN HADIST JILID 3 MEDIS","Text","","978-623-09-5853-3","KAMIL PUSTAKA BADI","2023","","","500/TIM/B","Indonesia","","NONE","","","","<TIM>","","<MA7030S>"
"ENSIKLOPEDIA SAINS DALAM AL-QUR'AN DAN HADIST JILID 2 BIOLOGI","Text","","978-623-09-5852-6","KAMIL PUSTAKA BADI","2023","","570/TIM/B","570/TIM/B","Indonesia","","NONE","","","","<TIM>","","<MA7029S>"
"ENSIKLOPEDIA SAINS DALAM AL-QUR'AN DAN HADISTB, JILID 1 FISIKA","Text","","978-623-09-5851-9","KAMIL PUSTAKA BADI","2023","","","530/TIM/B","Indonesia","","530/TIM/B","","","","<TIM>","","<MA7028S>"
"BAHASA ARAB UNTUK MA KELAS X, KUR. MADRASAH KMA 450","Text","","","erlangga","2025","","","400/SAE/B","Indonesia","CIREBON","NONE","","","","<HASAN SAEFULLOH>","","<MA6973S><MA6974S><MA6975S><MA6976S><MA6977S><MA6978S><MA6979S><MA6980S><MA6981S><MA6982S><MA6983S><MA6984S><MA6985S><MA6986S><MA6987S><MA6988S><MA6989S><MA6990S><MA6991S><MA6992S><MA6993S><MA6994S><MA6995S><MA6996S><MA6997S><MA6998S><MA6999S><MA7000S><MA7001S><MA7002S><MA7003S><MA7004S><MA7005S><MA7006S><MA7007S><MA7008S><MA7009S><MA7010S><MA7011S><MA7012S><MA7013S><MA7014S><MA7015S><MA7016S><MA7017S><MA7018S><MA7019S><MA7020S><MA7021S><MA7022S><MA7023S><MA7024S><MA7025S><MA7026S><MA7027S>"
"SEJARAH KEBUDAYAAN ISLAM UNTUK MA KELAS X, KER. MERDEKA KMA 450","Text","","","erlangga","2025","","","200/HAD/B","Indonesia","Jakarta","NONE","","","","<NUR HADI DKK>","","<MA6918S><MA6919S><MA6920S><MA6921S><MA6922S><MA6923S><MA6924S><MA6925S><MA6926S><MA6927S><MA6928S><MA6929S><MA6930S><MA6931S><MA6932S><MA6933S><MA6934S><MA6935S><MA6936S><MA6937S><MA6938S><MA6939S><MA6940S><MA6941S><MA6942S><MA6943S><MA6944S><MA6945S><MA6946S><MA6947S><MA6948S><MA6949S><MA6950S><MA6951S><MA6952S><MA6953S><MA6954S><MA6955S><MA6956S><MA6957S><MA6958S><MA6959S><MA6960S><MA6961S><MA6962S><MA6963S><MA6964S><MA6965S><MA6966S><MA6967S><MA6968S><MA6969S><MA6970S><MA6971S><MA6972S>"
"FIQIH UNTUK MA KELAS X, KUR. MADRASAH KMA 450","Text","","","erlangga","2025","","","200/HAD/B","Indonesia","Jakarta","NONE","","","","<NUR HADI DKK>","","<MA6863S><MA6864S><MA6865S><MA6866S><MA6867S><MA6868S><MA6869S><MA6870S><MA6871S><MA6872S><MA6873S><MA6874S><MA6875S><MA6876S><MA6877S><MA6878S><MA6879S><MA6880S><MA6881S><MA6882S><MA6883S><MA6884S><MA6885S><MA6886S><MA6887S><MA6888S><MA6889S><MA6890S><MA6891S><MA6892S><MA6893S><MA6894S><MA6895S><MA6896S><MA6897S><MA6898S><MA6899S><MA6900S><MA6901S><MA6902S><MA6903S><MA6904S><MA6905S><MA6906S><MA6907S><MA6908S><MA6909S><MA6910S><MA6911S><MA6912S><MA6913S><MA6914S><MA6915S><MA6916S><MA6917S>"
"AL QUR'AN DAN HADISUNTUK MA KELAS K, KUR. MADRASAH KMA 450","Text","","","erlangga","2025","","","200/MUS/B","Indonesia","Jakarta","NONE","","","","<A. MUSTOFA. HADNA>","","<MA6808S><MA6809S><MA6810S><MA6811S><MA6812S><MA6813S><MA6814S><MA6815S><MA6816S><MA6817S><MA6818S><MA6819S><MA6820S><MA6821S><MA6822S><MA6823S><MA6824S><MA6825S><MA6826S><MA6827S><MA6828S><MA6829S><MA6830S><MA6831S><MA6832S><MA6833S><MA6834S><MA6835S><MA6836S><MA6837S><MA6838S><MA6839S><MA6840S><MA6841S><MA6842S><MA6843S><MA6844S><MA6845S><MA6846S><MA6847S><MA6848S><MA6849S><MA6850S><MA6851S><MA6852S><MA6853S><MA6854S><MA6855S><MA6856S><MA6857S><MA6858S><MA6859S><MA6860S><MA6861S><MA6862S>"
"AKIDAH DAN AKHLAK, UNTUK MA KELAS X, KUR. MADRASAH, KMA 450","Text","","","erlangga","2025","","","200/INA/B","Indonesia","Jakarta","NONE","","","","<IDA INAYAH WATI, USMAN>","","<MA6753S><MA6754S><MA6755S><MA6756S><MA6757S><MA6758S><MA6759S><MA6760S><MA6761S><MA6762S><MA6763S><MA6764S><MA6765S><MA6766S><MA6767S><MA6768S><MA6769S><MA6770S><MA6771S><MA6772S><MA6773S><MA6774S><MA6775S><MA6776S><MA6777S><MA6778S><MA6779S><MA6780S><MA6781S><MA6782S><MA6783S><MA6784S><MA6785S><MA6786S><MA6787S><MA6788S><MA6789S><MA6790S><MA6791S><MA6792S><MA6793S><MA6794S><MA6795S><MA6796S><MA6797S><MA6798S><MA6799S><MA6800S><MA6801S><MA6802S><MA6803S><MA6804S><MA6805S><MA6806S><MA6807S>"
"Pembacaan ulang ATAS KONSEP PENDIDIKAN DALAM ISLAM","Text","","978-602-5747-18-2","Trusmedia Grafka","2018","","","","Indonesia","Bantul","NONE","","","","<Dr. HUJAIR AH. SANAKY, MSI>","","<MA6752S>"
"RAGAM FROFESI HUKUM DI INDONESIA","Text","","978-602-71817-6-2","Pintu Publising","2019","","","","Indonesia","","NONE","","","","<TIM FH UII>","","<MA6750S><MA6751S>"
"TOREH KATA ''SEMU''","Text","","","","","","","","Indonesia","","NONE","","","","<Millatul Islamiyah>","","<MA6749S>"
"AKU INI BINTANG JALANG (KUMPULAN PUISI)","Text","","","GRAMEDIA","","","","000/ANW/H","Indonesia","","NONE","","","","<CHAIRIL ANWAR>","","<MA6748S>"
"BAHASA INDONESIA","Text","EDISI 1","","Universitas Terbuka","","","","300/MUL/H","Indonesia","","NONE","","","","<YETI MULYATI, DKK>","","<MA6747S>"
"OTOMASI DALAM KEARSIPAN","Text","EDISI 2","","Universitas Terbuka","","","","020/IMA/H","Indonesia","","NONE","","","","<M. IMAM MULYANTONO>","","<MA6746S>"
"PENILAIAN DAN PENYUSUTAN ARSIP","Text","EDISI 1","","Universitas Terbuka","","","","020/SUD/H","Indonesia","","NONE","","","","<SUDJONO, DKK>","","<MA6745S>"
"Hubungan Masyarakat","Text","Edisi 3","","Universitas Terbuka","","","","","Indonesia","","NONE","","","","<Liestianingsih Dwi Dayanti Dkk>","","<MA6744S>"
"ASAS-ASAS MANAJEMEN","Text","Edisi 1","","Universitas Terbuka","","","","","Indonesia","","NONE","","","","<Rusli Ramli Dk>","","<MA6743S>"
"SEJARAH INDONESIA XII / K13 WAJIB","Text","","","","","","","","Indonesia","","NONE","","","","<RATNA HAPSAR & M. ADIL>","","<MA6739S><MA6740S><MA6741S><MA6742S>"
